file,role,page,observed,recommended,lucide,color,size,comment,source
icon_sidebar_onboarding.png,Navigation sidebar Onboarding,Shell commun / Dashboard,Chapeau / parcours,Onboarding,GraduationCap,Gris bleuté,~24 px,,Dashboard_V1.png
icon_sidebar_audit.png,Navigation sidebar Audit,Shell commun / Dashboard,Bouclier check,Audit,ShieldCheck,Gris bleuté,~24 px,,Dashboard_V1.png
icon_topbar_company.png,Sélecteur société topbar,Shell commun / Dashboard,Bâtiment dans petit carré,Société courante,Building2,Bleu marine/gris,~18 px,,Dashboard_V1.png
icon_topbar_theme_sun.png,Toggle thème topbar,Shell commun / Dashboard,Soleil linéaire,Thème clair,Sun,Bleu marine/gris,~24 px,,Dashboard_V1.png
icon_topbar_logout.png,Déconnexion topbar,Shell commun / Dashboard,Icône sortie,Déconnexion,LogOut,Bleu marine/gris,~18 px,,Dashboard_V1.png
icon_dashboard_user_avatar.png,Carte utilisateur connecté,Dashboard,Avatar utilisateur circulaire,Utilisateur connecté,UserCircle,Gris bleuté + vert,~74 px,"Avatar générique, non spécifique à une personne.",Dashboard_V1.png
icon_dashboard_mail.png,Email utilisateur connecté,Dashboard,Enveloppe,Email utilisateur,Mail,Gris bleuté,~18 px,,Dashboard_V1.png
icon_kpi_users_active.png,KPI utilisateurs actifs,Dashboard,Groupe utilisateurs blanc sur carré bleu,Utilisateurs actifs,UsersRound,Bleu primaire,~44 px dans carré ~58 px,,Dashboard_V1.png
icon_kpi_vehicles_active.png,KPI véhicules actifs,Dashboard,Ambulance blanche sur carré turquoise,Véhicules actifs,Ambulance,Turquoise,~44 px dans carré ~58 px,,Dashboard_V1.png
icon_kpi_depots_active.png,KPI dépôts actifs,Dashboard,Bâtiment blanc sur carré violet,Dépôts actifs,Building2,Violet,~44 px dans carré ~58 px,,Dashboard_V1.png
icon_kpi_templates_active.png,KPI templates actifs,Dashboard,Document blanc sur carré orange,Templates actifs,FileText,Orange,~44 px dans carré ~58 px,,Dashboard_V1.png
icon_module_planning.png,Module card Planning,Dashboard,Calendrier bleu dans carré pastel,Module Planning,CalendarDays,Bleu primaire,~30 px,,Dashboard_V1.png
icon_module_users.png,Module card Utilisateurs/RH,Dashboard,Utilisateurs turquoise dans carré pastel,Module Utilisateurs RH,UsersRound,Turquoise,~30 px,,Dashboard_V1.png
icon_module_vehicles.png,Module card Véhicules,Dashboard,Ambulance bleue dans carré pastel,Module Véhicules,Ambulance,Bleu primaire,~30 px,,Dashboard_V1.png
icon_module_templates.png,Module card Templates,Dashboard,Document orange dans carré pastel,Module Templates,FileText,Orange,~30 px,,Dashboard_V1.png
icon_module_company.png,Module card Société,Dashboard,Bâtiment bleu dans carré pastel,Module Société,Building2,Bleu,~30 px,,Dashboard_V1.png
icon_module_depots.png,Module card Dépôts,Dashboard,Entrepôt turquoise dans carré pastel,Module Dépôts,Warehouse,Turquoise,~30 px,,Dashboard_V1.png
icon_module_onboarding.png,Module card Onboarding,Dashboard,Chapeau violet dans carré pastel,Module Onboarding,GraduationCap,Violet,~30 px,,Dashboard_V1.png
icon_module_audit.png,Module card Audit,Dashboard,Bouclier gris dans carré pastel,Module Audit,ShieldCheck,Gris bleuté,~30 px,,Dashboard_V1.png
icon_button_add_shift.png,Bouton Ajouter un shift,Planning,Plus blanc,Ajouter shift,Plus,Blanc,~16 px,,Planning_V1.2.png
icon_export_pdf.png,Bouton export PDF,Planning,Document PDF rouge,Export PDF,FileText,Rouge,~18 px,,Planning_V1.2.png
icon_export_excel.png,Bouton Excel,Planning,Document vert,Export Excel,FileSpreadsheet,Vert,~18 px,,Planning_V1.2.png
icon_export_csv.png,Bouton CSV,Planning,Document bleu/gris,Export CSV,FileText,Gris bleuté,~18 px,,Planning_V1.2.png
icon_print.png,Bouton imprimer,Planning,Imprimante,Imprimer,Printer,Gris bleuté,~18 px,,Planning_V1.2.png
icon_filter_calendar.png,Filtre période,Planning,Calendrier,Filtre période,CalendarDays,Gris bleuté,~18 px,,Planning_V1.2.png
icon_filter_depot.png,Filtre dépôt,Planning,Bâtiment/dépôt,Filtre dépôt,Building2,Gris bleuté,~18 px,,Planning_V1.2.png
icon_filter_role.png,Filtre rôle,Planning,Utilisateur,Filtre rôle,UserRound,Gris bleuté,~18 px,,Planning_V1.2.png
icon_filter_user.png,Filtre utilisateur,Planning,Utilisateur,Filtre utilisateur,UserRound,Gris bleuté,~18 px,,Planning_V1.2.png
icon_cell_detail_calendar.png,Panneau détail cellule,Planning,Calendrier ligne affectation,Affectation datée,CalendarDays,Gris bleuté,~16 px,Très petit.,Planning_V1.2.png
icon_action_assign_employee.png,Barre actions sélection,Planning,Utilisateur affectation,Affecter employé,UserRoundPlus,Gris bleuté,~18 px,,Planning_V1.2.png
icon_action_assign_vehicle.png,Barre actions sélection,Planning,Ambulance/véhicule,Affecter véhicule,Ambulance,Gris bleuté,~18 px,,Planning_V1.2.png
icon_action_clear.png,Barre actions sélection,Planning,Corbeille rouge,Vider sélection,Trash2,Rouge,~18 px,,Planning_V1.2.png
icon_button_add_user.png,Bouton créer utilisateur,Utilisateurs/RH,Plus blanc,Créer utilisateur,Plus,Blanc,~16 px,,Utilisateurs-RH_V1.png
icon_users_kpi_users.png,KPI utilisateurs actifs,Utilisateurs/RH,Groupe utilisateurs blanc sur carré bleu,Utilisateurs actifs,UsersRound,Bleu primaire,~30 px,,Utilisateurs-RH_V1.png
icon_users_kpi_student.png,KPI stagiaires,Utilisateurs/RH,Chapeau/formation blanc sur carré vert,Stagiaires,GraduationCap,Vert,~30 px,,Utilisateurs-RH_V1.png
icon_users_kpi_absence.png,KPI absences,Utilisateurs/RH,Calendrier blanc sur carré orange,Absences en cours,CalendarX,Orange,~30 px,,Utilisateurs-RH_V1.png
icon_users_kpi_archive.png,KPI comptes archivés,Utilisateurs/RH,Archive/boîte blanche sur carré gris,Comptes archivés,Archive,Gris foncé,~30 px,,Utilisateurs-RH_V1.png
icon_users_drawer_profile.png,Panneau utilisateur,Utilisateurs/RH,Avatar initiales,Profil utilisateur,CircleUserRound,Gris bleuté,~56 px,Avatar initiales NA.,Utilisateurs-RH_V1.png
icon_users_action_edit.png,Action ligne tableau,Utilisateurs/RH,Crayon édition,Modifier utilisateur,Pencil,Gris bleuté,~16 px,Très petit.,Utilisateurs-RH_V1.png
icon_users_action_menu.png,Action ligne tableau,Utilisateurs/RH,Menu vertical,Actions supplémentaires,MoreVertical,Gris bleuté,~16 px,Très petit.,Utilisateurs-RH_V1.png
icon_users_security_key.png,Zone sécurité drawer,Utilisateurs/RH,Clé rouge,Réinitialiser mot de passe,KeyRound,Rouge,~20 px,,Utilisateurs-RH_V1.png
icon_users_archive_trash.png,Zone sécurité drawer,Utilisateurs/RH,Corbeille rouge,Archiver utilisateur,Trash2,Rouge,~20 px,,Utilisateurs-RH_V1.png
icon_button_add_vehicle.png,Bouton ajouter véhicule,Véhicules,Plus blanc,Ajouter véhicule,Plus,Blanc,~16 px,,Véhicules_V1.2.png
icon_vehicles_kpi_total.png,KPI total véhicules,Véhicules,Ambulance blanche sur carré bleu,Total véhicules,Ambulance,Bleu primaire,~30 px,,Véhicules_V1.2.png
icon_vehicles_kpi_service.png,KPI en service,Véhicules,Check blanc sur carré vert,En service,CircleCheck,Vert,~30 px,,Véhicules_V1.2.png
icon_vehicles_kpi_maintenance.png,KPI maintenance,Véhicules,Clé/outil blanc sur carré orange,En maintenance,Wrench,Orange,~30 px,,Véhicules_V1.2.png
icon_vehicles_kpi_out_service.png,KPI hors service,Véhicules,Signe interdit blanc sur carré rouge,Hors service,CircleMinus,Rouge,~30 px,,Véhicules_V1.2.png
icon_vehicles_kpi_warning.png,KPI conformité à surveiller,Véhicules,Triangle alerte blanc sur carré jaune,Conformité à surveiller,TriangleAlert,Jaune/orange,~30 px,,Véhicules_V1.2.png
icon_vehicle_filter_advanced.png,Bouton filtres avancés,Véhicules,Filtre entonnoir,Filtres avancés,SlidersHorizontal / Funnel,Gris bleuté,~18 px,,Véhicules_V1.2.png
icon_vehicle_button_history.png,Bouton historique,Véhicules,Flèche circulaire,Voir historique,History,Blanc,~18 px,,Véhicules_V1.2.png
icon_templates_kpi_total.png,KPI total templates,Templates,Document blanc sur carré bleu,Total templates,ClipboardList,Bleu primaire,~30 px,,Templates_V1.1.png
icon_templates_kpi_active.png,KPI actifs,Templates,Check blanc sur carré vert,Templates actifs,CircleCheck,Vert,~30 px,,Templates_V1.1.png
icon_templates_kpi_disabled.png,KPI désactivés,Templates,Pause blanc sur carré orange,Templates désactivés,PauseCircle,Orange,~30 px,,Templates_V1.1.png
icon_templates_kpi_archive.png,KPI archivés,Templates,Archive blanche sur carré violet,Templates archivés,Archive,Violet,~30 px,,Templates_V1.1.png
icon_templates_kpi_team.png,KPI types de garde,Templates,Groupe blanc sur carré turquoise,Types de garde,UsersRound,Turquoise,~30 px,,Templates_V1.1.png
icon_button_new_template.png,Bouton nouveau template,Templates,Plus blanc,Nouveau template,Plus,Blanc,~16 px,,Templates_V1.1.png
icon_templates_export.png,Bouton export,Templates,Flèche téléchargement,Exporter,Download,Gris bleuté,~16 px,,Templates_V1.1.png
icon_templates_view.png,Bouton vue,Templates,Liste,Changer vue,List,Gris bleuté,~16 px,,Templates_V1.1.png
icon_templates_drawer_info.png,Section informations générales,Templates,Clipboard/info,Informations générales,ClipboardList,Gris bleuté,~20 px,,Templates_V1.1.png
icon_templates_drawer_clock.png,Section horaires,Templates,Horloge,Horaires,Clock,Gris bleuté,~20 px,,Templates_V1.1.png
icon_templates_drawer_team.png,Section équipe requise,Templates,Groupe utilisateurs,Équipe requise,UsersRound,Gris bleuté,~20 px,,Templates_V1.1.png
icon_templates_drawer_chart.png,Section utilisation,Templates,Bar chart,Utilisation,BarChart3,Gris bleuté,~20 px,,Templates_V1.1.png
icon_templates_button_duplicate.png,Bouton dupliquer,Templates,Copie/document,Dupliquer,Copy,Gris bleuté,~18 px,,Templates_V1.1.png
icon_company_identity.png,Card identité société,Société,Bâtiment dans pastille,Identité société,Building2,Bleu marine/gris,~24 px,,Société_V1.0.png
icon_company_summary_building.png,Résumé société,Société,Bâtiment,Société active,Building2,Bleu marine,~28 px,,Société_V1.0.png
icon_company_summary_depots.png,Résumé société,Société,Dépôt/landmark violet,Dépôts actifs,Landmark,Violet,~28 px,,Société_V1.0.png
icon_company_summary_users.png,Résumé société,Société,Utilisateurs bleu,Utilisateurs actifs,UsersRound,Bleu,~28 px,,Société_V1.0.png
icon_company_summary_vehicles.png,Résumé société,Société,Ambulance turquoise,Véhicules actifs,Ambulance,Turquoise,~28 px,,Société_V1.0.png
icon_company_summary_calendar.png,Résumé société,Société,Calendrier bleu,Dernière mise à jour,CalendarDays,Bleu,~28 px,,Société_V1.0.png
icon_button_save.png,Bouton enregistrer,Société,Disquette blanche,Enregistrer,Save,Blanc,~18 px,,Société_V1.0.png
icon_depots_kpi_active.png,KPI dépôts actifs,Dépôts/Bases,Bâtiment blanc sur carré violet,Dépôts actifs,Landmark,Violet,~30 px,,Dépôts-bases_V1.0.png
icon_depots_kpi_archive.png,KPI archivés,Dépôts/Bases,Document blanc sur carré orange,Dépôts archivés,FileArchive,Orange,~30 px,,Dépôts-bases_V1.0.png
icon_depots_kpi_vehicles.png,KPI véhicules rattachés,Dépôts/Bases,Ambulance blanche sur carré turquoise,Véhicules rattachés,Ambulance,Turquoise,~30 px,,Dépôts-bases_V1.0.png
icon_depots_kpi_users.png,KPI utilisateurs rattachés,Dépôts/Bases,Utilisateurs blancs sur carré bleu,Utilisateurs rattachés,UsersRound,Bleu primaire,~30 px,,Dépôts-bases_V1.0.png
icon_depots_search.png,Champ recherche,Dépôts/Bases,Loupe,Recherche dépôt,Search,Gris bleuté,~18 px,,Dépôts-bases_V1.0.png
icon_depots_filter.png,Bouton filtrer,Dépôts/Bases,Filtre,Filtrer,Filter,Gris bleuté,~18 px,,Dépôts-bases_V1.0.png
icon_depots_attachment_vehicles.png,Drawer rattachements,Dépôts/Bases,Ambulance/véhicule,Véhicules rattachés,Ambulance,Turquoise,~26 px,,Dépôts-bases_V1.0.png
icon_depots_attachment_users.png,Drawer rattachements,Dépôts/Bases,Utilisateurs,Utilisateurs rattachés,UsersRound,Bleu primaire,~26 px,,Dépôts-bases_V1.0.png
icon_depots_note_info.png,Drawer notes,Dépôts/Bases,Info,Note informative,Info,Bleu clair,~18 px,,Dépôts-bases_V1.0.png
icon_depots_danger_warning.png,Zone danger,Dépôts/Bases,Triangle alerte rouge,Zone danger,TriangleAlert,Rouge,~20 px,,Dépôts-bases_V1.0.png
icon_depots_archive_depot.png,Bouton archiver dépôt,Dépôts/Bases,Corbeille rouge,Archiver dépôt,Trash2,Rouge,~18 px,,Dépôts-bases_V1.0.png
icon_onboarding_step_company.png,Progression onboarding,Onboarding,Bâtiment société,Étape profil société,Building2,Gris/bleu,~28 px,,Onboarding_V1.2.png
icon_onboarding_step_depots.png,Progression onboarding,Onboarding,Dépôt violet,Étape bases/dépôts,Landmark,Violet,~28 px,,Onboarding_V1.2.png
icon_onboarding_step_users.png,Progression onboarding,Onboarding,Utilisateurs bleu,Étape utilisateurs,UsersRound,Bleu,~28 px,,Onboarding_V1.2.png
icon_onboarding_step_vehicles.png,Progression onboarding,Onboarding,Ambulance turquoise,Étape véhicules,Ambulance,Turquoise,~28 px,,Onboarding_V1.2.png
icon_onboarding_step_templates.png,Progression onboarding,Onboarding,Document orange,Étape templates,FileText,Orange,~28 px,,Onboarding_V1.2.png
icon_onboarding_tab_users.png,Onglet type import,Onboarding,Utilisateurs,Import utilisateurs,UsersRound,Bleu,~18 px,Très petit.,Onboarding_V1.2.png
icon_onboarding_tab_vehicles.png,Onglet type import,Onboarding,Ambulance,Import véhicules,Ambulance,Gris bleuté,~18 px,Très petit.,Onboarding_V1.2.png
icon_onboarding_tab_templates.png,Onglet type import,Onboarding,Document,Import templates,FileText,Gris bleuté,~18 px,Très petit.,Onboarding_V1.2.png
icon_onboarding_tab_depots.png,Onglet type import,Onboarding,Bâtiment dépôt,Import dépôts,Landmark,Gris bleuté,~18 px,Très petit.,Onboarding_V1.2.png
icon_onboarding_tab_absences.png,Onglet type import,Onboarding,Calendrier,Import absences,CalendarDays,Gris bleuté,~18 px,Très petit.,Onboarding_V1.2.png
icon_onboarding_upload_cloud.png,Zone upload,Onboarding,Nuage upload,Déposer fichier,CloudUpload,Bleu clair,~30 px,,Onboarding_V1.2.png
icon_onboarding_file_excel.png,Fichier importé,Onboarding,Fichier Excel vert,Fichier XLSX,FileSpreadsheet,Vert,~22 px,,Onboarding_V1.2.png
icon_onboarding_download_template.png,Télécharger modèle,Onboarding,Flèche téléchargement,Télécharger modèle,Download,Gris bleuté,~16 px,,Onboarding_V1.2.png
icon_onboarding_error_warning.png,Erreur import,Onboarding,Triangle alerte rouge,Erreur import,TriangleAlert,Rouge,~18 px,,Onboarding_V1.2.png
icon_onboarding_ready_check.png,Card prêt à importer,Onboarding,Check vert,Prêt à importer,CircleCheck,Vert,~24 px,,Onboarding_V1.2.png
icon_onboarding_progress_ring.png,Aide import,Onboarding,Anneau de progression 40%,Progression import,CircleDashed,Bleu + gris,~80 px,"Graphique circular progress, pas une icône simple.",Onboarding_V1.2.png
icon_audit_kpi_actions.png,KPI actions aujourd’hui,Audit,Clipboard/action blanc sur carré bleu,Actions aujourd’hui,ClipboardList,Bleu,~30 px,,Audit_V1.0.png
icon_audit_kpi_connections.png,KPI connexions,Audit,Cadenas blanc sur carré vert,Connexions,Lock,Vert,~30 px,,Audit_V1.0.png
icon_audit_kpi_sensitive.png,KPI modifications sensibles,Audit,Crayon blanc sur carré orange,Modifications sensibles,Pencil,Orange,~30 px,,Audit_V1.0.png
icon_audit_kpi_support.png,KPI actions support,Audit,Casque/support blanc sur carré violet,Actions support,Headphones,Violet,~30 px,,Audit_V1.0.png
icon_audit_kpi_alerts.png,KPI alertes à vérifier,Audit,Triangle alerte blanc sur carré jaune,Alertes à vérifier,TriangleAlert,Jaune/orange,~30 px,,Audit_V1.0.png
icon_audit_export.png,Bouton exporter,Audit,Téléchargement blanc,Exporter audit,Download,Blanc,~18 px,,Audit_V1.0.png
icon_audit_reset.png,Bouton réinitialiser,Audit,Flèche circulaire,Réinitialiser filtres,RotateCcw,Gris bleuté,~18 px,,Audit_V1.0.png
icon_audit_copy_id.png,Bouton copier ID,Audit,Copie,Copier ID,Copy,Gris bleuté,~18 px,,Audit_V1.0.png
icon_audit_copy_json.png,Bouton copier JSON,Audit,Copie,Copier JSON,Copy,Gris bleuté,~18 px,,Audit_V1.0.png
icon_privacy_breadcrumb_home.png,Fil d’Ariane,Privacy,Maison,Accueil,Home,Gris bleuté,~16 px,Très petit.,Privacy_V1.0.png
icon_privacy_update_calendar.png,Badge dernière mise à jour,Privacy,Calendrier,Dernière mise à jour,CalendarDays,Gris bleuté,~18 px,,Privacy_V1.0.png
icon_privacy_editor_building.png,Section éditeur du site,Privacy,Bâtiment grand contour bleu,Éditeur du site,Building2,Bleu primaire,~56 px,,Privacy_V1.0.png
icon_privacy_hosting_cloud.png,Section hébergement,Privacy,Nuage grand contour bleu,Hébergement,Cloud,Bleu primaire,~56 px,,Privacy_V1.0.png
icon_privacy_data_id.png,Section données collectées,Privacy,Carte identité contour bleu,Données collectées,IdCard,Bleu primaire,~56 px,,Privacy_V1.0.png
icon_privacy_purpose_target.png,Section finalités,Privacy,Cible contour bleu,Finalités de traitement,Goal,Bleu primaire,~56 px,,Privacy_V1.0.png
icon_privacy_footer_shield.png,Footer accès réservé,Privacy,Bouclier,Accès réservé,ShieldCheck,Gris bleuté,~16 px,Très petit.,Privacy_V1.0.png
